""	"WNT5A"	"RIPK3"	"SMAP2"
"S_1056"	5.17001603911326	9.08311230710781	7.92586103025091
"S_1063"	9.40476452207298	8.34455897138426	10.1057485025291
"S_1081"	7.26088866394543	9.17288975997308	7.98376965604534
"S_1074"	7.92590798585465	8.13852920622364	9.64570822471114
"S_1023"	8.55359373803148	8.33519770428569	9.20997653776948
"S_1092"	7.41844782225112	8.36248145892925	8.81001687048986
"S_1097"	6.83023080285162	7.77939621083073	9.50001693380599
"S_1098"	8.36065913205199	8.47928238930572	8.06508973368101
"S_1065"	9.66612781038771	8.7509675310514	9.36010425160103
"S_1041"	7.6054086071654	8.16817247354878	8.83815251770134
"S_1099"	9.38960744991133	7.6832615428679	8.66236398483543
"S_1035"	8.66562757969982	7.96347071883824	9.04223485535736
"S_1058"	8.95403601581019	8.65585927616156	8.11854386996333
"S_1070"	7.50244199449678	8.22087310692039	10.8732994164403
"S_1030"	7.11021752295386	8.37951096567204	8.52860597667345
"S_1066"	9.23785859857187	8.73888446715861	8.21118862778866
"S_1069"	6.37204200852272	6.60562211985963	8.97949718648991
"S_1091"	7.80428553896959	7.12749882008952	9.74918131462537
"S_1055"	9.76416507479596	8.53087336028618	8.72926868319098
"S_1075"	10.1364918863485	8.71000125024445	8.37268867080253
"S_1088"	8.8237201143334	8.02399363717565	8.811643434858
"S_1072"	8.86925994980765	7.49757153126797	8.62103807493876
"S_1083"	7.55286952058859	8.15647244807937	8.57028872692609
"S_1019"	8.88573540074922	8.23967477152735	9.48866840835961
"S_1048"	9.71255539393858	7.45982357667373	8.70849080379003
"S_1094"	6.56183069326607	7.89851900797015	11.926413045665
"S_1040"	9.64281884069622	7.84816636737796	8.53294926605803
"S_1043"	10.5737933740402	6.81202743086004	11.9033065202853
"S_1044"	9.22107352232686	8.28544255613068	9.6177034579489
"S_1047"	8.63116340656155	8.90462863933911	9.40863559980125
"S_1034"	6.2077751760905	7.37098935164096	8.67566913149654
"S_1059"	7.42002147359775	8.26932440137572	8.08871523280685
"S_1090"	8.79018636440652	7.74565634390463	8.95544699073326
"S_1080"	8.58785932640611	8.10801772532693	8.48907262561789
"S_1089"	8.34256870948244	7.78614009077179	8.3000231314048
"S_1053"	9.26224754633301	7.75122367128574	8.78184283949768
"S_1038"	7.78257379646977	8.89915878080661	8.76149709298945
"S_1018"	8.17868879664415	7.59989088890196	9.12164392906143
"S_1052"	8.14664334896647	6.42968196903372	10.1240652987266
"S_1061"	10.6786646330883	8.1831744846659	10.4729815820452
"S_1029"	7.34033890789815	8.22162666884653	8.26111835761163
"S_1071"	6.79056490689945	7.54610197021108	10.8476358099598
"S_1016"	10.6731906321468	7.28602703016503	8.61314805024679
"S_1085"	8.24039193443529	6.61973564635343	9.89373478819106
