""	"gene"	"gene_coeff"	"taxa"	"taxa_coeff"
"1"	"SFRP2"	"0.0533571100889699"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia"	"0.0433158257107766"
"2"	"CD36"	"0.110293434574922"	"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae"	"0.0696207480256354"
"3"	"SFRP1"	"0.012352534472763"	"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella"	"0.131902360778103"
"4"	"CCDC80"	"0.106285377976985"	"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;aerofaciens"	"0.133462858463024"
"5"	"TNXB"	"0.069244703944108"	"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Eggerthella;lenta"	"0.183571533362687"
"6"	"MGP"	"0.0172304774029593"	"Bacteria;Bacteroidetes"	"0.270882393565519"
"7"	"COL14A1"	"0.034302709879467"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	"0.298180871233318"
"8"	"DCN"	"0.0360101875831564"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Paraprevotellaceae]"	"-0.0501980468830747"
"9"	"LYVE1"	"0.162816962325113"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae"	"0.270556781470916"
"10"	"PTGIS"	"0.0424468191544863"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"	"0.275814724311152"
"11"	"FGF7"	"0.00646980333879373"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;fragilis"	"0.120488204772047"
"12"	"CPXM2"	"0.0404704663107613"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;ovatus"	"0.00534579227231458"
"13"	"MEDAG"	"0.142078165465744"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uniformis"	"0.258520423781807"
"14"	"SLIT3"	"0.12881449541217"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;distasonis"	"0.00190726443995009"
"15"	"FBLN1"	"0.00492907076439574"	"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;ochracea"	"-0.00718208185479607"
"16"	"C3"	"0.000885929996873836"	"Bacteria;Firmicutes"	"0.0556119815027222"
"17"	"EFEMP1"	"0.0660333858817462"	"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae"	"-0.00246079697091432"
"18"	"RGS2"	"0.00926193337668949"	"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"0.00152240155919028"
"19"	"CD163"	"0.030679060595693"	"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;aureus"	"0.117075156466643"
"20"	"MAP1B"	"0.00570892022539803"	"Bacteria;Firmicutes;Bacilli;Lactobacillales"	"-0.05816418814291"
"21"	"ABCC9"	"0.0368607647783919"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae"	"-0.0538798909706401"
"22"	"MRC1"	"0.101079267314389"	"Bacteria;Firmicutes;Clostridia"	"0.116870383996"
"23"	"ADAMTS1"	"0.0411829433285525"	"Bacteria;Firmicutes;Clostridia;Clostridiales"	"0.117390554905769"
"24"	"NNMT"	"0.0498466086263263"	"Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];Peptoniphilus"	"0.16166136515104"
"25"	"PREX2"	"0.0134810329862954"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus]"	"0.0360855956087198"
